Address
Bk0	Bk1	Bk2	Bk3	Bank	Data	Description	Value
363	445			GroupDTC	EEP_DTCDatabase[49]	DTC	0x00
364	446			GroupDTC	EEP_DTCDatabase[50]	DTC	0x00
365	447			GroupDTC	EEP_DTCDatabase[51]	DTC	0x00
366	448			GroupDTC	EEP_DTCDatabase[52]	DTC	0x00
367	449			GroupDTC	EEP_DTCDatabase[53]	DTC	0x00
368	450			GroupDTC	EEP_DTCDatabase[54]	DTC	0x00
369	451			GroupDTC	EEP_DTCDatabase[55]	DTC	0x00
370	452			GroupDTC	EEP_DTCDatabase[56]	DTC	0x00
371	453			GroupDTC	EEP_DTCDatabase[57]	DTC	0x00
372	454			GroupDTC	EEP_DTCDatabase[58]	DTC	0x00
373	455			GroupDTC	EEP_DTCDatabase[59]	DTC	0x00
374	456			GroupDTC	EEP_DTCDatabase[60]	DTC	0x00
375	457			GroupDTC	EEP_DTCDatabase[61]	DTC	0x00
376	458			GroupDTC	EEP_DTCDatabase[62]	DTC	0x00
377	459			GroupDTC	EEP_DTCDatabase[63]	DTC	0x00
378	460			GroupDTC	EEP_DTCDatabase[64]	DTC	0x00
379	461			GroupDTC	EEP_DTCDatabase[65]	DTC	0x00
380	462			GroupDTC	EEP_DTCDatabase[66]	DTC	0x00
381	463			GroupDTC	EEP_DTCDatabase[67]	DTC	0x00
382	464			GroupDTC	EEP_DTCDatabase[68]	DTC	0x00
383	465			GroupDTC	EEP_DTCDatabase[69]	DTC	0x00
384	466			GroupDTC	EEP_DTCDatabase[70]	DTC	0x00
385	467			GroupDTC	EEP_DTCDatabase[71]	DTC	0x00
386	468			GroupDTC	EEP_DTCDatabase[72]	DTC	0x00
387	469			GroupDTC	EEP_DTCDatabase[73]	DTC	0x00
388	470			GroupDTC	EEP_DTCDatabase[74]	DTC	0x00
389	471			GroupDTC	EEP_DTCDatabase[75]	DTC	0x00
390	472			GroupDTC	EEP_DTCDatabase[76]	DTC	0x00
391	473			GroupDTC	EEP_DTCDatabase[77]	DTC	0x00
392	474			GroupDTC	EEP_DTCDatabase[78]	DTC	0x00
393	475			GroupDTC	EEP_DTCDatabase[79]	DTC	0x00
476	598			GroupDIUpperLimit	Cks_GroupDIUpperLimit_L	Checksum for bank "GroupDIUpperLimit"	0xE9
477	599			GroupDIUpperLimit	Cks_GroupDIUpperLimit_H	Checksum for bank "GroupDIUpperLimit"	0xCE
478	600			GroupDIUpperLimit	EEP_DIUpperLimit[0]_L	DIUpperLimit	0xB8
479	601			GroupDIUpperLimit	EEP_DIUpperLimit[0]_H	DIUpperLimit	0x0B
480	602			GroupDIUpperLimit	EEP_DIUpperLimit[1]_L	DIUpperLimit	0xB8
481	603			GroupDIUpperLimit	EEP_DIUpperLimit[1]_H	DIUpperLimit	0x0B
482	604			GroupDIUpperLimit	EEP_DIUpperLimit[2]_L	DIUpperLimit	0xB8
483	605			GroupDIUpperLimit	EEP_DIUpperLimit[2]_H	DIUpperLimit	0x0B
484	606			GroupDIUpperLimit	EEP_DIUpperLimit[3]_L	DIUpperLimit	0xB8
485	607			GroupDIUpperLimit	EEP_DIUpperLimit[3]_H	DIUpperLimit	0x0B
486	608			GroupDIUpperLimit	EEP_DIUpperLimit[4]_L	DIUpperLimit	0xB8
487	609			GroupDIUpperLimit	EEP_DIUpperLimit[4]_H	DIUpperLimit	0x0B
488	610			GroupDIUpperLimit	EEP_DIUpperLimit[5]_L	DIUpperLimit	0xB8
489	611			GroupDIUpperLimit	EEP_DIUpperLimit[5]_H	DIUpperLimit	0x0B
490	612			GroupDIUpperLimit	EEP_DIUpperLimit[6]_L	DIUpperLimit	0xB8
491	613			GroupDIUpperLimit	EEP_DIUpperLimit[6]_H	DIUpperLimit	0x0B
492	614			GroupDIUpperLimit	EEP_DIUpperLimit[7]_L	DIUpperLimit	0xB8
493	615			GroupDIUpperLimit	EEP_DIUpperLimit[7]_H	DIUpperLimit	0x0B
494	616			GroupDIUpperLimit	EEP_DIUpperLimit[8]_L	DIUpperLimit	0xB8
495	617			GroupDIUpperLimit	EEP_DIUpperLimit[8]_H	DIUpperLimit	0x0B
496	618			GroupDIUpperLimit	EEP_DIUpperLimit[9]_L	DIUpperLimit	0xB8
497	619			GroupDIUpperLimit	EEP_DIUpperLimit[9]_H	DIUpperLimit	0x0B
498	620			GroupDIUpperLimit	EEP_DIUpperLimit[10]_L	DIUpperLimit	0xB8
499	621			GroupDIUpperLimit	EEP_DIUpperLimit[10]_H	DIUpperLimit	0x0B
500	622			GroupDIUpperLimit	EEP_DIUpperLimit[11]_L	DIUpperLimit	0xB8
501	623			GroupDIUpperLimit	EEP_DIUpperLimit[11]_H	DIUpperLimit	0x0B
502	624			GroupDIUpperLimit	EEP_DIUpperLimit[12]_L	DIUpperLimit	0xB8
503	625			GroupDIUpperLimit	EEP_DIUpperLimit[12]_H	DIUpperLimit	0x0B
504	626			GroupDIUpperLimit	EEP_DIUpperLimit[13]_L	DIUpperLimit	0xB8
505	627			GroupDIUpperLimit	EEP_DIUpperLimit[13]_H	DIUpperLimit	0x0B
506	628			GroupDIUpperLimit	EEP_DIUpperLimit[14]_L	DIUpperLimit	0x84
507	629			GroupDIUpperLimit	EEP_DIUpperLimit[14]_H	DIUpperLimit	0x03
508	630			GroupDIUpperLimit	EEP_DIUpperLimit[15]_L	DIUpperLimit	0x80
509	631			GroupDIUpperLimit	EEP_DIUpperLimit[15]_H	DIUpperLimit	0x3E
510	632			GroupDIUpperLimit	EEP_DIUpperLimit[16]_L	DIUpperLimit	0x84
511	633			GroupDIUpperLimit	EEP_DIUpperLimit[16]_H	DIUpperLimit	0x03
512	634			GroupDIUpperLimit	EEP_DIUpperLimit[17]_L	DIUpperLimit	0x2D
513	635			GroupDIUpperLimit	EEP_DIUpperLimit[17]_H	DIUpperLimit	0x00
514	636			GroupDIUpperLimit	EEP_DIUpperLimit[18]_L	DIUpperLimit	0xE0
515	637			GroupDIUpperLimit	EEP_DIUpperLimit[18]_H	DIUpperLimit	0x2E
516	638			GroupDIUpperLimit	EEP_DIUpperLimit[19]_L	DIUpperLimit	0x84
517	639			GroupDIUpperLimit	EEP_DIUpperLimit[19]_H	DIUpperLimit	0x03
518	640			GroupDIUpperLimit	EEP_DIUpperLimit[20]_L	DIUpperLimit	0x84
519	641			GroupDIUpperLimit	EEP_DIUpperLimit[20]_H	DIUpperLimit	0x03
520	642			GroupDIUpperLimit	EEP_DIUpperLimit[21]_L	DIUpperLimit	0x84
521	643			GroupDIUpperLimit	EEP_DIUpperLimit[21]_H	DIUpperLimit	0x03
522	644			GroupDIUpperLimit	EEP_DIUpperLimit[22]_L	DIUpperLimit	0x84
523	645			GroupDIUpperLimit	EEP_DIUpperLimit[22]_H	DIUpperLimit	0x03
524	646			GroupDIUpperLimit	EEP_DIUpperLimit[23]_L	DIUpperLimit	0x80
525	647			GroupDIUpperLimit	EEP_DIUpperLimit[23]_H	DIUpperLimit	0x3E
526	648			GroupDIUpperLimit	EEP_DIUpperLimit[24]_L	DIUpperLimit	0x84
527	649			GroupDIUpperLimit	EEP_DIUpperLimit[24]_H	DIUpperLimit	0x03
528	650			GroupDIUpperLimit	EEP_DIUpperLimit[25]_L	DIUpperLimit	0xA0
529	651			GroupDIUpperLimit	EEP_DIUpperLimit[25]_H	DIUpperLimit	0x00
530	652			GroupDIUpperLimit	EEP_DIUpperLimit[26]_L	DIUpperLimit	0xE0
531	653			GroupDIUpperLimit	EEP_DIUpperLimit[26]_H	DIUpperLimit	0x2E
532	654			GroupDIUpperLimit	EEP_DIUpperLimit[27]_L	DIUpperLimit	0x84
533	655			GroupDIUpperLimit	EEP_DIUpperLimit[27]_H	DIUpperLimit	0x03
534	656			GroupDIUpperLimit	EEP_DIUpperLimit[28]_L	DIUpperLimit	0x84
535	657			GroupDIUpperLimit	EEP_DIUpperLimit[28]_H	DIUpperLimit	0x03
536	658			GroupDIUpperLimit	EEP_DIUpperLimit[29]_L	DIUpperLimit	0x84
537	659			GroupDIUpperLimit	EEP_DIUpperLimit[29]_H	DIUpperLimit	0x03
538	660			GroupDIUpperLimit	EEP_DIUpperLimit[30]_L	DIUpperLimit	0x84
539	661			GroupDIUpperLimit	EEP_DIUpperLimit[30]_H	DIUpperLimit	0x03
540	662			GroupDIUpperLimit	EEP_DIUpperLimit[31]_L	DIUpperLimit	0x80
541	663			GroupDIUpperLimit	EEP_DIUpperLimit[31]_H	DIUpperLimit	0x3E
542	664			GroupDIUpperLimit	EEP_DIUpperLimit[32]_L	DIUpperLimit	0x2D
543	665			GroupDIUpperLimit	EEP_DIUpperLimit[32]_H	DIUpperLimit	0x00
544	666			GroupDIUpperLimit	EEP_DIUpperLimit[33]_L	DIUpperLimit	0xA0
545	667			GroupDIUpperLimit	EEP_DIUpperLimit[33]_H	DIUpperLimit	0x00
546	668			GroupDIUpperLimit	EEP_DIUpperLimit[34]_L	DIUpperLimit	0x84
547	669			GroupDIUpperLimit	EEP_DIUpperLimit[34]_H	DIUpperLimit	0x03
548	670			GroupDIUpperLimit	EEP_DIUpperLimit[35]_L	DIUpperLimit	0x84
549	671			GroupDIUpperLimit	EEP_DIUpperLimit[35]_H	DIUpperLimit	0x03
550	672			GroupDIUpperLimit	EEP_DIUpperLimit[36]_L	DIUpperLimit	0x84
551	673			GroupDIUpperLimit	EEP_DIUpperLimit[36]_H	DIUpperLimit	0x03
552	674			GroupDIUpperLimit	EEP_DIUpperLimit[37]_L	DIUpperLimit	0x80
553	675			GroupDIUpperLimit	EEP_DIUpperLimit[37]_H	DIUpperLimit	0x3E
554	676			GroupDIUpperLimit	EEP_DIUpperLimit[38]_L	DIUpperLimit	0xE0
555	677			GroupDIUpperLimit	EEP_DIUpperLimit[38]_H	DIUpperLimit	0x2E
556	678			GroupDIUpperLimit	EEP_DIUpperLimit[39]_L	DIUpperLimit	0x84
557	679			GroupDIUpperLimit	EEP_DIUpperLimit[39]_H	DIUpperLimit	0x03
558	680			GroupDIUpperLimit	EEP_DIUpperLimit[40]_L	DIUpperLimit	0x84
559	681			GroupDIUpperLimit	EEP_DIUpperLimit[40]_H	DIUpperLimit	0x03
560	682			GroupDIUpperLimit	EEP_DIUpperLimit[41]_L	DIUpperLimit	0x84
561	683			GroupDIUpperLimit	EEP_DIUpperLimit[41]_H	DIUpperLimit	0x03
562	684			GroupDIUpperLimit	EEP_DIUpperLimit[42]_L	DIUpperLimit	0x84
563	685			GroupDIUpperLimit	EEP_DIUpperLimit[42]_H	DIUpperLimit	0x03
564	686			GroupDIUpperLimit	EEP_DIUpperLimit[43]_L	DIUpperLimit	0x84
565	687			GroupDIUpperLimit	EEP_DIUpperLimit[43]_H	DIUpperLimit	0x03
566	688			GroupDIUpperLimit	EEP_DIUpperLimit[44]_L	DIUpperLimit	0x80
567	689			GroupDIUpperLimit	EEP_DIUpperLimit[44]_H	DIUpperLimit	0x3E
568	690			GroupDIUpperLimit	EEP_DIUpperLimit[45]_L	DIUpperLimit	0x84
569	691			GroupDIUpperLimit	EEP_DIUpperLimit[45]_H	DIUpperLimit	0x03
570	692			GroupDIUpperLimit	EEP_DIUpperLimit[46]_L	DIUpperLimit	0x84
571	693			GroupDIUpperLimit	EEP_DIUpperLimit[46]_H	DIUpperLimit	0x03
572	694			GroupDIUpperLimit	EEP_DIUpperLimit[47]_L	DIUpperLimit	0x84
573	695			GroupDIUpperLimit	EEP_DIUpperLimit[47]_H	DIUpperLimit	0x03
574	696			GroupDIUpperLimit	EEP_DIUpperLimit[48]_L	DIUpperLimit	0x80
575	697			GroupDIUpperLimit	EEP_DIUpperLimit[48]_H	DIUpperLimit	0x3E
576	698			GroupDIUpperLimit	EEP_DIUpperLimit[49]_L	DIUpperLimit	0xE0
577	699			GroupDIUpperLimit	EEP_DIUpperLimit[49]_H	DIUpperLimit	0x2E
578	700			GroupDIUpperLimit	EEP_DIUpperLimit[50]_L	DIUpperLimit	0x84
579	701			GroupDIUpperLimit	EEP_DIUpperLimit[50]_H	DIUpperLimit	0x03
580	702			GroupDIUpperLimit	EEP_DIUpperLimit[51]_L	DIUpperLimit	0x84
581	703			GroupDIUpperLimit	EEP_DIUpperLimit[51]_H	DIUpperLimit	0x03
582	704			GroupDIUpperLimit	EEP_DIUpperLimit[52]_L	DIUpperLimit	0x84
583	705			GroupDIUpperLimit	EEP_DIUpperLimit[52]_H	DIUpperLimit	0x03
584	706			GroupDIUpperLimit	EEP_DIUpperLimit[53]_L	DIUpperLimit	0x84
585	707			GroupDIUpperLimit	EEP_DIUpperLimit[53]_H	DIUpperLimit	0x03
586	708			GroupDIUpperLimit	EEP_DIUpperLimit[54]_L	DIUpperLimit	0x84
587	709			GroupDIUpperLimit	EEP_DIUpperLimit[54]_H	DIUpperLimit	0x03
588	710			GroupDIUpperLimit	EEP_DIUpperLimit[55]_L	DIUpperLimit	0x80
589	711			GroupDIUpperLimit	EEP_DIUpperLimit[55]_H	DIUpperLimit	0x3E
590	712			GroupDIUpperLimit	EEP_DIUpperLimit[56]_L	DIUpperLimit	0xE0
591	713			GroupDIUpperLimit	EEP_DIUpperLimit[56]_H	DIUpperLimit	0x2E
592	714			GroupDIUpperLimit	EEP_DIUpperLimit[57]_L	DIUpperLimit	0xE0
593	715			GroupDIUpperLimit	EEP_DIUpperLimit[57]_H	DIUpperLimit	0x2E
594	716			GroupDIUpperLimit	EEP_DIUpperLimit[58]_L	DIUpperLimit	0xE0
595	717			GroupDIUpperLimit	EEP_DIUpperLimit[58]_H	DIUpperLimit	0x2E
596	718			GroupDIUpperLimit	EEP_DIUpperLimit[59]_L	DIUpperLimit	0xE0
597	719			GroupDIUpperLimit	EEP_DIUpperLimit[59]_H	DIUpperLimit	0x2E
720	842			GroupDILowerLimit	Cks_GroupDILowerLimit_L	Checksum for bank "GroupDILowerLimit"	0xCD
721	843			GroupDILowerLimit	Cks_GroupDILowerLimit_H	Checksum for bank "GroupDILowerLimit"	0x10
722	844			GroupDILowerLimit	EEP_DILowerLimit[0]_L	DILowerLimit	0x58
723	845			GroupDILowerLimit	EEP_DILowerLimit[0]_H	DILowerLimit	0x02
724	846			GroupDILowerLimit	EEP_DILowerLimit[1]_L	DILowerLimit	0x58
725	847			GroupDILowerLimit	EEP_DILowerLimit[1]_H	DILowerLimit	0x02
726	848			GroupDILowerLimit	EEP_DILowerLimit[2]_L	DILowerLimit	0x58
727	849			GroupDILowerLimit	EEP_DILowerLimit[2]_H	DILowerLimit	0x02
728	850			GroupDILowerLimit	EEP_DILowerLimit[3]_L	DILowerLimit	0x58
729	851			GroupDILowerLimit	EEP_DILowerLimit[3]_H	DILowerLimit	0x02
730	852			GroupDILowerLimit	EEP_DILowerLimit[4]_L	DILowerLimit	0x58
731	853			GroupDILowerLimit	EEP_DILowerLimit[4]_H	DILowerLimit	0x02
732	854			GroupDILowerLimit	EEP_DILowerLimit[5]_L	DILowerLimit	0x58
733	855			GroupDILowerLimit	EEP_DILowerLimit[5]_H	DILowerLimit	0x02
734	856			GroupDILowerLimit	EEP_DILowerLimit[6]_L	DILowerLimit	0x58
735	857			GroupDILowerLimit	EEP_DILowerLimit[6]_H	DILowerLimit	0x02
736	858			GroupDILowerLimit	EEP_DILowerLimit[7]_L	DILowerLimit	0x58
737	859			GroupDILowerLimit	EEP_DILowerLimit[7]_H	DILowerLimit	0x02
738	860			GroupDILowerLimit	EEP_DILowerLimit[8]_L	DILowerLimit	0x58
739	861			GroupDILowerLimit	EEP_DILowerLimit[8]_H	DILowerLimit	0x02
740	862			GroupDILowerLimit	EEP_DILowerLimit[9]_L	DILowerLimit	0x58
741	863			GroupDILowerLimit	EEP_DILowerLimit[9]_H	DILowerLimit	0x02
742	864			GroupDILowerLimit	EEP_DILowerLimit[10]_L	DILowerLimit	0x58
743	865			GroupDILowerLimit	EEP_DILowerLimit[10]_H	DILowerLimit	0x02
744	866			GroupDILowerLimit	EEP_DILowerLimit[11]_L	DILowerLimit	0x58
745	867			GroupDILowerLimit	EEP_DILowerLimit[11]_H	DILowerLimit	0x02
746	868			GroupDILowerLimit	EEP_DILowerLimit[12]_L	DILowerLimit	0x58
747	869			GroupDILowerLimit	EEP_DILowerLimit[12]_H	DILowerLimit	0x02
748	870			GroupDILowerLimit	EEP_DILowerLimit[13]_L	DILowerLimit	0x58
749	871			GroupDILowerLimit	EEP_DILowerLimit[13]_H	DILowerLimit	0x02
750	872			GroupDILowerLimit	EEP_DILowerLimit[14]_L	DILowerLimit	0xF4
751	873			GroupDILowerLimit	EEP_DILowerLimit[14]_H	DILowerLimit	0x01
752	874			GroupDILowerLimit	EEP_DILowerLimit[15]_L	DILowerLimit	0xE0
753	875			GroupDILowerLimit	EEP_DILowerLimit[15]_H	DILowerLimit	0x2E
754	876			GroupDILowerLimit	EEP_DILowerLimit[16]_L	DILowerLimit	0xF4
755	877			GroupDILowerLimit	EEP_DILowerLimit[16]_H	DILowerLimit	0x01
756	878			GroupDILowerLimit	EEP_DILowerLimit[17]_L	DILowerLimit	0x2C
757	879			GroupDILowerLimit	EEP_DILowerLimit[17]_H	DILowerLimit	0x00
758	880			GroupDILowerLimit	EEP_DILowerLimit[18]_L	DILowerLimit	0xF8
759	881			GroupDILowerLimit	EEP_DILowerLimit[18]_H	DILowerLimit	0x2A
760	882			GroupDILowerLimit	EEP_DILowerLimit[19]_L	DILowerLimit	0xF4
761	883			GroupDILowerLimit	EEP_DILowerLimit[19]_H	DILowerLimit	0x01
762	884			GroupDILowerLimit	EEP_DILowerLimit[20]_L	DILowerLimit	0xF4
763	885			GroupDILowerLimit	EEP_DILowerLimit[20]_H	DILowerLimit	0x01
764	886			GroupDILowerLimit	EEP_DILowerLimit[21]_L	DILowerLimit	0xF4
765	887			GroupDILowerLimit	EEP_DILowerLimit[21]_H	DILowerLimit	0x01
766	888			GroupDILowerLimit	EEP_DILowerLimit[22]_L	DILowerLimit	0xF4
767	889			GroupDILowerLimit	EEP_DILowerLimit[22]_H	DILowerLimit	0x01
768	890			GroupDILowerLimit	EEP_DILowerLimit[23]_L	DILowerLimit	0xE0
769	891			GroupDILowerLimit	EEP_DILowerLimit[23]_H	DILowerLimit	0x2E
770	892			GroupDILowerLimit	EEP_DILowerLimit[24]_L	DILowerLimit	0xF4
771	893			GroupDILowerLimit	EEP_DILowerLimit[24]_H	DILowerLimit	0x01
772	894			GroupDILowerLimit	EEP_DILowerLimit[25]_L	DILowerLimit	0x9F
773	895			GroupDILowerLimit	EEP_DILowerLimit[25]_H	DILowerLimit	0x00
774	896			GroupDILowerLimit	EEP_DILowerLimit[26]_L	DILowerLimit	0xF8
775	897			GroupDILowerLimit	EEP_DILowerLimit[26]_H	DILowerLimit	0x2A
776	898			GroupDILowerLimit	EEP_DILowerLimit[27]_L	DILowerLimit	0xF4
777	899			GroupDILowerLimit	EEP_DILowerLimit[27]_H	DILowerLimit	0x01
778	900			GroupDILowerLimit	EEP_DILowerLimit[28]_L	DILowerLimit	0xF4
779	901			GroupDILowerLimit	EEP_DILowerLimit[28]_H	DILowerLimit	0x01
780	902			GroupDILowerLimit	EEP_DILowerLimit[29]_L	DILowerLimit	0xF4
781	903			GroupDILowerLimit	EEP_DILowerLimit[29]_H	DILowerLimit	0x01
782	904			GroupDILowerLimit	EEP_DILowerLimit[30]_L	DILowerLimit	0xF4
783	905			GroupDILowerLimit	EEP_DILowerLimit[30]_H	DILowerLimit	0x01
784	906			GroupDILowerLimit	EEP_DILowerLimit[31]_L	DILowerLimit	0xE0
785	907			GroupDILowerLimit	EEP_DILowerLimit[31]_H	DILowerLimit	0x2E
786	908			GroupDILowerLimit	EEP_DILowerLimit[32]_L	DILowerLimit	0x2C
787	909			GroupDILowerLimit	EEP_DILowerLimit[32]_H	DILowerLimit	0x00
788	910			GroupDILowerLimit	EEP_DILowerLimit[33]_L	DILowerLimit	0x9F
789	911			GroupDILowerLimit	EEP_DILowerLimit[33]_H	DILowerLimit	0x00
790	912			GroupDILowerLimit	EEP_DILowerLimit[34]_L	DILowerLimit	0xF4
791	913			GroupDILowerLimit	EEP_DILowerLimit[34]_H	DILowerLimit	0x01
792	914			GroupDILowerLimit	EEP_DILowerLimit[35]_L	DILowerLimit	0xF4
793	915			GroupDILowerLimit	EEP_DILowerLimit[35]_H	DILowerLimit	0x01
794	916			GroupDILowerLimit	EEP_DILowerLimit[36]_L	DILowerLimit	0xF4
795	917			GroupDILowerLimit	EEP_DILowerLimit[36]_H	DILowerLimit	0x01
796	918			GroupDILowerLimit	EEP_DILowerLimit[37]_L	DILowerLimit	0xE0
797	919			GroupDILowerLimit	EEP_DILowerLimit[37]_H	DILowerLimit	0x2E
798	920			GroupDILowerLimit	EEP_DILowerLimit[38]_L	DILowerLimit	0xF8
799	921			GroupDILowerLimit	EEP_DILowerLimit[38]_H	DILowerLimit	0x2A
800	922			GroupDILowerLimit	EEP_DILowerLimit[39]_L	DILowerLimit	0xF4
801	923			GroupDILowerLimit	EEP_DILowerLimit[39]_H	DILowerLimit	0x01
802	924			GroupDILowerLimit	EEP_DILowerLimit[40]_L	DILowerLimit	0xF4
803	925			GroupDILowerLimit	EEP_DILowerLimit[40]_H	DILowerLimit	0x01
804	926			GroupDILowerLimit	EEP_DILowerLimit[41]_L	DILowerLimit	0xF4
805	927			GroupDILowerLimit	EEP_DILowerLimit[41]_H	DILowerLimit	0x01
806	928			GroupDILowerLimit	EEP_DILowerLimit[42]_L	DILowerLimit	0xF4
807	929			GroupDILowerLimit	EEP_DILowerLimit[42]_H	DILowerLimit	0x01
808	930			GroupDILowerLimit	EEP_DILowerLimit[43]_L	DILowerLimit	0xF4
809	931			GroupDILowerLimit	EEP_DILowerLimit[43]_H	DILowerLimit	0x01
810	932			GroupDILowerLimit	EEP_DILowerLimit[44]_L	DILowerLimit	0xF8
811	933			GroupDILowerLimit	EEP_DILowerLimit[44]_H	DILowerLimit	0x2A
812	934			GroupDILowerLimit	EEP_DILowerLimit[45]_L	DILowerLimit	0xF4
813	935			GroupDILowerLimit	EEP_DILowerLimit[45]_H	DILowerLimit	0x01
814	936			GroupDILowerLimit	EEP_DILowerLimit[46]_L	DILowerLimit	0xF4
815	937			GroupDILowerLimit	EEP_DILowerLimit[46]_H	DILowerLimit	0x01
816	938			GroupDILowerLimit	EEP_DILowerLimit[47]_L	DILowerLimit	0xF4
817	939			GroupDILowerLimit	EEP_DILowerLimit[47]_H	DILowerLimit	0x01
818	940			GroupDILowerLimit	EEP_DILowerLimit[48]_L	DILowerLimit	0xF8
819	941			GroupDILowerLimit	EEP_DILowerLimit[48]_H	DILowerLimit	0x2A
820	942			GroupDILowerLimit	EEP_DILowerLimit[49]_L	DILowerLimit	0xF8
821	943			GroupDILowerLimit	EEP_DILowerLimit[49]_H	DILowerLimit	0x2A
822	944			GroupDILowerLimit	EEP_DILowerLimit[50]_L	DILowerLimit	0xF4
823	945			GroupDILowerLimit	EEP_DILowerLimit[50]_H	DILowerLimit	0x01
824	946			GroupDILowerLimit	EEP_DILowerLimit[51]_L	DILowerLimit	0xF4
825	947			GroupDILowerLimit	EEP_DILowerLimit[51]_H	DILowerLimit	0x01
826	948			GroupDILowerLimit	EEP_DILowerLimit[52]_L	DILowerLimit	0xF4
827	949			GroupDILowerLimit	EEP_DILowerLimit[52]_H	DILowerLimit	0x01
828	950			GroupDILowerLimit	EEP_DILowerLimit[53]_L	DILowerLimit	0xF4
829	951			GroupDILowerLimit	EEP_DILowerLimit[53]_H	DILowerLimit	0x01
830	952			GroupDILowerLimit	EEP_DILowerLimit[54]_L	DILowerLimit	0xF4
831	953			GroupDILowerLimit	EEP_DILowerLimit[54]_H	DILowerLimit	0x01
832	954			GroupDILowerLimit	EEP_DILowerLimit[55]_L	DILowerLimit	0xE0
833	955			GroupDILowerLimit	EEP_DILowerLimit[55]_H	DILowerLimit	0x2E
834	956			GroupDILowerLimit	EEP_DILowerLimit[56]_L	DILowerLimit	0xF8
835	957			GroupDILowerLimit	EEP_DILowerLimit[56]_H	DILowerLimit	0x2A
836	958			GroupDILowerLimit	EEP_DILowerLimit[57]_L	DILowerLimit	0xF8
837	959			GroupDILowerLimit	EEP_DILowerLimit[57]_H	DILowerLimit	0x2A
838	960			GroupDILowerLimit	EEP_DILowerLimit[58]_L	DILowerLimit	0xF8
839	961			GroupDILowerLimit	EEP_DILowerLimit[58]_H	DILowerLimit	0x2A
840	962			GroupDILowerLimit	EEP_DILowerLimit[59]_L	DILowerLimit	0xF8
841	963			GroupDILowerLimit	EEP_DILowerLimit[59]_H	DILowerLimit	0x2A
964	982			GroupDIType	Cks_GroupDIType_L	Checksum for bank "GroupDIType"	0x82
965	983			GroupDIType	Cks_GroupDIType_H	Checksum for bank "GroupDIType"	0x5F
966	984			GroupDIType	EEP_DIType[0]	Ditype	0x00
967	985			GroupDIType	EEP_DIType[1]	Ditype	0x05
968	986			GroupDIType	EEP_DIType[2]	Ditype	0x00
969	987			GroupDIType	EEP_DIType[3]	Ditype	0x2D
970	988			GroupDIType	EEP_DIType[4]	Ditype	0x01
971	989			GroupDIType	EEP_DIType[5]	Ditype	0x00
972	990			GroupDIType	EEP_DIType[6]	Ditype	0x36
973	991			GroupDIType	EEP_DIType[7]	Ditype	0x37
974	992			GroupDIType	EEP_DIType[8]	Ditype	0x01
975	993			GroupDIType	EEP_DIType[9]	Ditype	0x00
976	994			GroupDIType	EEP_DIType[10]	Ditype	0x36
977	995			GroupDIType	EEP_DIType[11]	Ditype	0x37
978	996			GroupDIType	EEP_DIType[12]	Ditype	0x0F
979	997			GroupDIType	EEP_DIType[13]	Ditype	0x00
980	998			GroupDIType	EEP_DIType[14]	Ditype	0x00
981	999			GroupDIType	Libre_GroupDIType	Unused	0x00
1000	1138			GroupSensorCal	Cks_GroupSensorCal_L	Checksum for bank "GroupSensorCal"	0x64
1001	1139			GroupSensorCal	Cks_GroupSensorCal_H	Checksum for bank "GroupSensorCal"	0xE7
1002	1140			GroupSensorCal	EEP_OpenTime_L	开门时间	0xAC
1003	1141			GroupSensorCal	EEP_OpenTime_H	开门时间	0x0D
1004	1142			GroupSensorCal	EEP_CloseTime_L	关门时间	0xAC
1005	1143			GroupSensorCal	EEP_CloseTime_H	关门时间	0x0D
1006	1144			GroupSensorCal	EEP_FrontPumpRunDistance_L	气缸总行程	0x87
1007	1145			GroupSensorCal	EEP_FrontPumpRunDistance_H	气缸总行程	0x00
1008	1146			GroupSensorCal	EEP_BackPumpRunDistance_L	实际运行行程	0x64
1009	1147			GroupSensorCal	EEP_BackPumpRunDistance_H	实际运行行程	0x00
1010	1148			GroupSensorCal	EEP_FrontOpenSensorVol_L	开门位置对应的门绝对位置传感器电压	0xA0
1011	1149			GroupSensorCal	EEP_FrontOpenSensorVol_H	开门位置对应的门绝对位置传感器电压	0x0F
1012	1150			GroupSensorCal	EEP_BackOpenSensorVol_L	开门位置对应的门绝对位置传感器电压	0xA0
1013	1151			GroupSensorCal	EEP_BackOpenSensorVol_H	开门位置对应的门绝对位置传感器电压	0x0F
1014	1152			GroupSensorCal	EEP_FrontCloseSensorVol_L	关门位置对应的门绝对位置传感器电压	0xE8
1015	1153			GroupSensorCal	EEP_FrontCloseSensorVol_H	关门位置对应的门绝对位置传感器电压	0x03
1016	1154			GroupSensorCal	EEP_BackCloseSensorVol_L	关门位置对应的门绝对位置传感器电压	0xE8
1017	1155			GroupSensorCal	EEP_BackCloseSensorVol_H	关门位置对应的门绝对位置传感器电压	0x03
1018	1156			GroupSensorCal	EEP_FrontOpenGradePercent[0]	开门行程各个阶段占比	0x0A
1019	1157			GroupSensorCal	EEP_FrontOpenGradePercent[1]	开门行程各个阶段占比	0x0A
1020	1158			GroupSensorCal	EEP_FrontOpenGradePercent[2]	开门行程各个阶段占比	0x0A
